PTS test results for AVRCP

PTS version: 5.0
Tested: --not yet tested--

Results:
PASS	test passed
FAIL	test failed
INC	test is inconclusive
N/A	test is disabled due to PICS setup

		Controller (CT)
-------------------------------------------------------------------------------
Test Name		Result	Notes
-------------------------------------------------------------------------------
TC_CT_BGN_BV_01_I	N/A
TC_CT_BGN_BV_02_I	N/A
TC_CT_CEC_BV_01_I	N/A
TC_CT_CEC_BV_02_I	N/A
TC_CT_CFG_BV_01_C	N/A
TC_CT_CON_BV_01_C	N/A
TC_CT_CON_BV_03_C	N/A
TC_CT_CRC_BV_01_I	N/A
TC_CT_CRC_BV_02_I	N/A
TC_CT_ICC_BV_01_I	N/A
TC_CT_ICC_BV_02_I	N/A
TC_CT_MCN_CB_BV_01_C	N/A
TC_CT_MCN_CB_BV_01_I	N/A
TC_CT_MCN_CB_BV_02_I	N/A
TC_CT_MCN_CB_BV_03_I	N/A
TC_CT_MCN_CB_BV_04_C	N/A
TC_CT_MCN_CB_BV_04_I	N/A
TC_CT_MCN_CB_BV_05_I	N/A
TC_CT_MCN_CB_BV_06_I	N/A
TC_CT_MCN_CB_BV_07_C	N/A
TC_CT_MCN_CB_BV_07_I	N/A
TC_CT_MCN_NP_BV_01_C	N/A
TC_CT_MCN_NP_BV_01_I	N/A
TC_CT_MCN_NP_BV_02_I	N/A
TC_CT_MCN_NP_BV_03_C	N/A
TC_CT_MCN_NP_BV_03_I	N/A
TC_CT_MCN_NP_BV_04_I	N/A
TC_CT_MCN_NP_BV_05_C	N/A
TC_CT_MCN_NP_BV_05_I	N/A
TC_CT_MCN_NP_BV_06_I	N/A
TC_CT_MCN_NP_BV_07_I	N/A
TC_CT_MCN_NP_BV_08_C	N/A
TC_CT_MCN_SRC_BV_01_C	N/A
TC_CT_MCN_SRC_BV_01_I	N/A
TC_CT_MCN_SRC_BV_02_I	N/A
TC_CT_MCN_SRC_BV_03_C	N/A
TC_CT_MCN_SRC_BV_03_I	N/A
TC_CT_MCN_SRC_BV_04_I	N/A
TC_CT_MCN_SRC_BV_05_C	N/A
TC_CT_MDI_BV_01_C	N/A
TC_CT_MDI_BV_03_C	N/A
TC_CT_MPS_BV_01_C	N/A
TC_CT_MPS_BV_01_I	N/A
TC_CT_MPS_BV_02_I	N/A
TC_CT_MPS_BV_03_C	N/A
TC_CT_MPS_BV_03_I	N/A
TC_CT_MPS_BV_08_C	N/A
TC_CT_NFY_BV_01_C	N/A
TC_CT_PAS_BV_01_C	N/A
TC_CT_PAS_BV_03_C	N/A
TC_CT_PAS_BV_05_C	N/A
TC_CT_PAS_BV_07_C	N/A
TC_CT_PAS_BV_09_C	N/A
TC_CT_PAS_BV_11_C	N/A
TC_CT_PTH_BV_01_C	N/A
TC_CT_PTH_BV_02_C	N/A
TC_CT_PTT_BV_01_I	N/A
TC_CT_PTT_BV_02_I	N/A
TC_CT_PTT_BV_03_I	N/A
TC_CT_PTT_BV_04_I	N/A
TC_CT_PTT_BV_05_I	N/A
TC_CT_RCR_BV_01_C	N/A
TC_CT_RCR_BV_03_C	N/A
TC_CT_VLH_BI_03_C	N/A
TC_CT_VLH_BI_04_C	N/A
TC_CT_VLH_BV_01_C	N/A
TC_CT_VLH_BV_01_I	N/A
TC_CT_VLH_BV_02_I	N/A
TC_CT_VLH_BV_03_C	N/A
-------------------------------------------------------------------------------


		Target (TG)
-------------------------------------------------------------------------------
Test Name		Result	Notes
-------------------------------------------------------------------------------
TC_TG_BGN_BV_01_I	N/A
TC_TG_BGN_BV_02_I	N/A
TC_TG_CEC_BV_01_I	INC
TC_TG_CEC_BV_02_I	INC
TC_TG_CFG_BI_01_C	INC
TC_TG_CFG_BV_02_C	INC
TC_TG_CON_BV_02_C	N/A
TC_TG_CON_BV_04_C	N/A
TC_TG_CON_BV_05_C	N/A
TC_TG_CRC_BV_01_I	INC
TC_TG_CRC_BV_02_I	INC
TC_TG_ICC_BV_01_I	INC
TC_TG_ICC_BV_02_I	INC
TC_TG_INV_BI_01_C	INC
TC_TG_INV_BI_02_C	N/A
TC_TG_MCN_CB_BI_01_C	N/A
TC_TG_MCN_CB_BI_02_C	N/A
TC_TG_MCN_CB_BI_03_C	N/A
TC_TG_MCN_CB_BI_04_C	N/A
TC_TG_MCN_CB_BI_05_C	N/A
TC_TG_MCN_CB_BV_01_I	N/A
TC_TG_MCN_CB_BV_02_C	N/A
TC_TG_MCN_CB_BV_02_I	N/A
TC_TG_MCN_CB_BV_03_C	N/A
TC_TG_MCN_CB_BV_03_I	N/A
TC_TG_MCN_CB_BV_04_I	N/A
TC_TG_MCN_CB_BV_05_C	N/A
TC_TG_MCN_CB_BV_05_I	N/A
TC_TG_MCN_CB_BV_06_C	N/A
TC_TG_MCN_CB_BV_06_I	N/A
TC_TG_MCN_CB_BV_07_I	N/A
TC_TG_MCN_CB_BV_08_C	N/A
TC_TG_MCN_CB_BV_09_C	N/A
TC_TG_MCN_CB_BV_10_C	N/A
TC_TG_MCN_CB_BV_11_C	N/A
TC_TG_MCN_NP_BI_01_C	N/A
TC_TG_MCN_NP_BI_02_C	N/A
TC_TG_MCN_NP_BV_01_I	N/A
TC_TG_MCN_NP_BV_02_C	N/A
TC_TG_MCN_NP_BV_02_I	N/A
TC_TG_MCN_NP_BV_03_I	N/A
TC_TG_MCN_NP_BV_04_C	N/A
TC_TG_MCN_NP_BV_04_I	N/A
TC_TG_MCN_NP_BV_05_I	N/A
TC_TG_MCN_NP_BV_06_C	N/A
TC_TG_MCN_NP_BV_06_I	N/A
TC_TG_MCN_NP_BV_07_C	N/A
TC_TG_MCN_NP_BV_07_I	N/A
TC_TG_MCN_NP_BV_09_C	N/A
TC_TG_MCN_SRC_BV_01_I	N/A
TC_TG_MCN_SRC_BV_02_C	N/A
TC_TG_MCN_SRC_BV_02_I	N/A
TC_TG_MCN_SRC_BV_03_I	N/A
TC_TG_MCN_SRC_BV_04_C	N/A
TC_TG_MCN_SRC_BV_04_I	N/A
TC_TG_MCN_SRC_BV_06_C	N/A
TC_TG_MDI_BV_02_C	INC
TC_TG_MDI_BV_04_C	INC
TC_TG_MDI_BV_05_C	INC
TC_TG_MPS_BI_01_C	N/A
TC_TG_MPS_BI_02_C	N/A
TC_TG_MPS_BV_01_I	N/A
TC_TG_MPS_BV_02_C	N/A
TC_TG_MPS_BV_02_I	N/A
TC_TG_MPS_BV_03_I	N/A
TC_TG_MPS_BV_04_C	N/A
TC_TG_MPS_BV_05_C	N/A
TC_TG_MPS_BV_06_C	N/A
TC_TG_MPS_BV_07_C	N/A
TC_TG_MPS_BV_09_C	N/A
TC_TG_MPS_BV_10_C	N/A
TC_TG_NFY_BI_01_C	INC
TC_TG_NFY_BV_02_C	INC
TC_TG_NFY_BV_03_C	N/A
TC_TG_NFY_BV_04_C	INC
TC_TG_NFY_BV_05_C	INC
TC_TG_NFY_BV_06_C	N/A
TC_TG_NFY_BV_07_C	N/A
TC_TG_NFY_BV_08_C	INC
TC_TG_PAS_BI_01_C	N/A
TC_TG_PAS_BI_02_C	N/A
TC_TG_PAS_BI_03_C	N/A
TC_TG_PAS_BI_04_C	N/A
TC_TG_PAS_BI_05_C	N/A
TC_TG_PAS_BV_02_C	N/A
TC_TG_PAS_BV_04_C	N/A
TC_TG_PAS_BV_06_C	N/A
TC_TG_PAS_BV_08_C	N/A
TC_TG_PAS_BV_10_C	N/A
TC_TG_PTT_BV_01_I	INC
TC_TG_PTT_BV_02_I	N/A
TC_TG_PTT_BV_03_I	N/A
TC_TG_PTT_BV_04_I	N/A
TC_TG_PTT_BV_05_I	N/A
TC_TG_RCR_BV_02_C	INC
TC_TG_RCR_BV_04_C	INC
TC_TG_VLH_BI_01_C	N/A
TC_TG_VLH_BI_02_C	N/A
TC_TG_VLH_BV_01_I	N/A
TC_TG_VLH_BV_02_C	N/A
TC_TG_VLH_BV_02_I	N/A
TC_TG_VLH_BV_04_C	N/A
-------------------------------------------------------------------------------
